customer_id,customer_name,segment,state
1,Cliente 01,B2B,MG
2,Cliente 02,Enterprise,BA
3,Cliente 03,B2C,SC
4,Cliente 04,B2C,SP
5,Cliente 05,B2B,BA
6,Cliente 06,B2B,RJ
7,Cliente 07,B2B,PR
8,Cliente 08,Enterprise,SP
9,Cliente 09,B2C,PR
10,Cliente 10,B2C,RS
11,Cliente 11,B2B,RJ
12,Cliente 12,Enterprise,RJ
13,Cliente 13,B2C,SP
14,Cliente 14,B2B,RJ
15,Cliente 15,B2B,SC
16,Cliente 16,B2B,RJ
17,Cliente 17,B2B,PR
18,Cliente 18,B2B,PR
19,Cliente 19,B2B,BA
20,Cliente 20,B2B,PR
21,Cliente 21,B2C,BA
22,Cliente 22,B2B,PR
23,Cliente 23,B2B,SC
24,Cliente 24,B2B,PE
25,Cliente 25,B2B,BA
26,Cliente 26,B2C,MG
27,Cliente 27,B2B,RS
28,Cliente 28,B2B,SP
29,Cliente 29,B2C,PR
30,Cliente 30,B2B,RJ
