txn_id,date_id,account_id,txn_direction,source_type,source_id,amount,other_type
1,20220118,1,INFLOW,INVOICE,1,23118.03,
2,20220111,1,INFLOW,INVOICE,2,26120.11,
3,20220204,1,INFLOW,INVOICE,3,1362.11,
4,20220121,1,INFLOW,INVOICE,4,7859.55,
5,20220107,1,INFLOW,INVOICE,5,2180.49,
6,20220110,1,INFLOW,INVOICE,6,35208.85,
7,20220118,1,INFLOW,INVOICE,7,17286.36,
8,20220127,1,INFLOW,INVOICE,8,7114.59,
9,20220113,1,INFLOW,INVOICE,9,1162.72,
10,20220129,1,INFLOW,INVOICE,10,6595.27,
11,20220216,1,INFLOW,INVOICE,11,6964.01,
12,20220217,1,INFLOW,INVOICE,12,23157.21,
13,20220203,1,INFLOW,INVOICE,13,17969.6,
14,20220127,1,INFLOW,INVOICE,14,38638.89,
15,20220128,1,INFLOW,INVOICE,15,11315.29,
16,20220124,1,INFLOW,INVOICE,16,2255.25,
17,20220125,1,INFLOW,INVOICE,17,22117.0,
18,20220202,1,INFLOW,INVOICE,18,25326.5,
19,20220226,1,INFLOW,INVOICE,19,14587.73,
20,20220227,1,INFLOW,INVOICE,20,26096.66,
21,20220207,1,INFLOW,INVOICE,21,12054.49,
22,20220202,1,OUTFLOW,BILL,1,47891.59,
23,20220104,1,OUTFLOW,BILL,2,8741.7,
24,20220204,1,OUTFLOW,BILL,3,2903.15,
25,20220113,1,OUTFLOW,BILL,4,9821.86,
26,20220122,1,OUTFLOW,BILL,5,52915.65,
27,20220110,1,OUTFLOW,BILL,6,7082.05,
28,20220111,1,OUTFLOW,BILL,7,23260.29,
29,20220211,1,OUTFLOW,BILL,8,11.61,
30,20220128,1,OUTFLOW,BILL,9,9693.07,
31,20220129,1,OUTFLOW,BILL,10,8105.28,
32,20220124,1,OUTFLOW,BILL,11,4011.33,
33,20220217,1,OUTFLOW,BILL,12,17028.91,
34,20220218,1,OUTFLOW,BILL,13,14788.08,
35,20220219,1,OUTFLOW,BILL,14,26288.72,
36,20220220,1,OUTFLOW,BILL,15,6998.88,
37,20220208,1,OUTFLOW,BILL,16,6240.23,
38,20220209,1,OUTFLOW,BILL,17,4108.56,
39,20220225,1,OUTFLOW,BILL,18,5504.43,
40,20220127,1,OUTFLOW,BILL,19,18208.7,
41,20220128,1,OUTFLOW,BILL,20,11532.44,
