bill_id,issue_date_id,vendor_id,cost_center_id,amount,due_date_id,paid_flag
1,20220103,20,2,47891.59,20220202,1
2,20220104,3,5,8741.7,20220104,1
3,20220105,17,1,2903.15,20220204,1
4,20220106,17,2,9821.86,20220113,1
5,20220107,22,5,52915.65,20220122,1
6,20220110,1,3,7082.05,20220110,1
7,20220111,2,4,23260.29,20220111,1
8,20220112,6,4,11.61,20220211,1
9,20220113,23,3,9693.07,20220128,1
10,20220114,17,5,8105.28,20220129,1
11,20220117,20,3,4011.33,20220124,1
12,20220118,16,1,17028.91,20220217,1
13,20220119,9,3,14788.08,20220218,1
14,20220120,6,5,26288.72,20220219,1
15,20220121,3,4,6998.88,20220220,1
16,20220124,4,2,6240.23,20220208,1
17,20220125,3,3,4108.56,20220209,1
18,20220126,20,4,5504.43,20220225,1
19,20220127,9,2,18208.7,20220127,1
20,20220128,8,3,11532.44,20220128,1
21,20220131,25,2,1495.92,20220131,1
22,20220201,21,3,4915.51,20220216,1
23,20220202,1,5,21911.23,20220304,1
24,20220203,21,1,9816.84,20220305,1
25,20220204,3,2,15589.71,20220306,1
26,20220207,25,2,6874.75,20220214,1
27,20220208,3,2,8466.58,20220310,1
28,20220209,15,2,6676.49,20220216,1
29,20220210,10,2,2138.06,20220217,1
30,20220211,17,1,12616.48,20220313,1
31,20220214,9,5,3244.06,20220301,1
32,20220215,10,2,242.3,20220302,1
33,20220216,3,1,10206.96,20220223,1
34,20220217,24,4,1918.75,20220217,1
35,20220218,7,4,27768.14,20220218,1
36,20220221,13,1,30292.68,20220323,1
37,20220222,8,4,24248.52,20220324,1
38,20220223,19,4,4550.33,20220310,1
39,20220224,2,3,153.33,20220303,1
40,20220225,25,5,25941.66,20220304,1
41,20220228,22,2,5501.67,20220307,1
42,20220301,11,4,16176.33,20220301,1
43,20220302,3,1,4181.39,20220302,1
44,20220303,8,3,6146.28,20220310,1
45,20220304,12,5,10319.63,20220304,1
46,20220307,12,2,484.44,20220322,1
47,20220308,19,3,29299.22,20220315,1
48,20220309,23,2,21418.19,20220309,1
49,20220310,8,2,2973.54,20220310,1
50,20220311,10,2,151.7,20220318,1
51,20220314,19,4,26651.43,20220314,1
52,20220315,21,5,6838.23,20220322,1
53,20220316,11,4,7624.59,20220316,1
54,20220317,25,5,11330.01,20220317,1
55,20220318,25,2,9410.3,20220417,1
56,20220321,5,3,28332.14,20220321,1
57,20220322,17,4,28395.45,20220406,1
58,20220323,18,5,19857.82,20220323,1
59,20220324,12,5,9951.13,20220324,1
60,20220325,23,3,15877.14,20220325,1
61,20220328,9,1,11120.76,20220404,1
62,20220329,17,4,8378.56,20220405,1
63,20220330,16,5,1352.83,20220330,1
64,20220331,19,4,16397.4,20220331,1
65,20220401,21,4,5045.1,20220416,1
66,20220404,5,3,7173.43,20220504,1
67,20220405,19,1,3682.67,20220505,1
68,20220406,18,1,6538.78,20220421,1
69,20220407,17,1,10665.28,20220414,1
70,20220408,21,3,17001.31,20220415,1
71,20220411,16,1,18344.56,20220426,1
72,20220412,11,2,21778.84,20220512,1
73,20220413,16,4,17159.62,20220513,1
74,20220414,24,5,14381.71,20220514,1
75,20220415,8,4,3412.8,20220422,1
76,20220418,4,2,6433.86,20220425,1
77,20220419,18,4,8175.04,20220519,1
78,20220420,5,4,1089.05,20220420,1
79,20220421,22,1,9459.04,20220506,1
80,20220422,9,5,7215.43,20220422,1
81,20220425,20,4,20389.6,20220425,1
82,20220426,16,5,47979.91,20220426,1
83,20220427,14,5,10218.99,20220512,1
84,20220428,6,3,4903.71,20220505,1
85,20220429,5,1,558.44,20220514,1
86,20220502,24,2,16670.31,20220502,1
87,20220503,6,2,11473.24,20220503,1
88,20220504,13,3,14426.46,20220511,1
89,20220505,11,3,2837.29,20220604,1
90,20220506,19,1,1737.01,20220521,1
91,20220509,23,3,173.59,20220524,1
92,20220510,22,4,5114.47,20220609,1
93,20220511,8,1,10560.95,20220610,1
94,20220512,3,3,5899.91,20220611,1
95,20220513,18,2,6816.18,20220513,1
96,20220516,19,5,27783.44,20220531,1
97,20220517,5,4,5072.01,20220524,1
98,20220518,10,5,8548.37,20220518,1
99,20220519,6,5,18137.22,20220519,1
100,20220520,9,2,5984.01,20220619,1
101,20220523,14,1,11528.82,20220530,1
102,20220524,14,5,23495.53,20220531,1
103,20220525,9,1,35379.31,20220601,1
104,20220526,15,3,1884.74,20220526,1
105,20220527,16,1,30942.04,20220527,1
