invoice_id,issue_date_id,customer_id,cost_center_id,gross_amount,tax_amount,net_amount,due_date_id,paid_flag
1,20220103,9,1,26270.49,3152.46,23118.03,20220118,1
2,20220104,15,1,29681.94,3561.83,26120.11,20220111,1
3,20220105,10,1,1547.85,185.74,1362.11,20220204,1
4,20220106,13,1,8931.31,1071.76,7859.55,20220121,1
5,20220107,7,1,2477.83,297.34,2180.49,20220107,1
6,20220110,20,1,40010.06,4801.21,35208.85,20220110,1
7,20220111,4,1,19643.59,2357.23,17286.36,20220118,1
8,20220112,5,1,8084.76,970.17,7114.59,20220127,1
9,20220113,7,1,1321.27,158.55,1162.72,20220113,1
10,20220114,15,1,7494.62,899.35,6595.27,20220129,1
11,20220117,29,1,7913.65,949.64,6964.01,20220216,1
12,20220118,13,1,26315.02,3157.8,23157.21,20220217,1
13,20220119,7,1,20420.0,2450.4,17969.6,20220203,1
14,20220120,19,1,43907.83,5268.94,38638.89,20220127,1
15,20220121,28,1,12858.28,1542.99,11315.29,20220128,1
16,20220124,10,1,2562.79,307.53,2255.25,20220124,1
17,20220125,30,1,25132.95,3015.95,22117.0,20220125,1
18,20220126,21,1,28780.11,3453.61,25326.5,20220202,1
19,20220127,28,1,16576.97,1989.24,14587.73,20220226,1
20,20220128,12,1,29655.29,3558.64,26096.66,20220227,1
21,20220131,20,1,13698.28,1643.79,12054.49,20220207,1
22,20220201,30,1,29751.95,3570.23,26181.72,20220201,1
23,20220202,3,1,14182.55,1701.91,12480.65,20220202,1
24,20220203,29,1,13204.76,1584.57,11620.19,20220210,1
25,20220204,14,1,4847.14,581.66,4265.48,20220211,1
26,20220207,2,1,1710.84,205.3,1505.54,20220214,1
27,20220208,3,1,39829.36,4779.52,35049.84,20220310,1
28,20220209,29,1,40383.46,4846.02,35537.44,20220209,1
29,20220210,4,1,17553.2,2106.38,15446.82,20220210,1
30,20220211,4,1,7248.49,869.82,6378.67,20220211,1
31,20220214,14,1,7520.21,902.43,6617.78,20220214,1
32,20220215,16,1,22661.51,2719.38,19942.13,20220317,1
33,20220216,24,1,39811.4,4777.37,35034.03,20220318,1
34,20220217,8,1,38183.91,4582.07,33601.84,20220304,1
35,20220218,3,1,26497.12,3179.65,23317.46,20220218,1
36,20220221,1,1,17984.58,2158.15,15826.43,20220323,1
37,20220222,12,1,1538.67,184.64,1354.03,20220309,1
38,20220223,19,1,3086.29,370.35,2715.93,20220302,1
39,20220224,23,1,40058.82,4807.06,35251.76,20220303,1
40,20220225,14,1,16324.67,1958.96,14365.71,20220304,1
41,20220228,6,1,161.75,19.41,142.34,20220307,1
42,20220301,26,1,2065.12,247.81,1817.31,20220308,1
43,20220302,1,1,11225.41,1347.05,9878.36,20220317,1
44,20220303,2,1,22334.42,2680.13,19654.29,20220402,1
45,20220304,30,1,3694.69,443.36,3251.33,20220311,1
46,20220307,16,1,14820.53,1778.46,13042.07,20220307,1
47,20220308,8,1,1355.75,162.69,1193.06,20220308,1
48,20220309,21,1,806.44,96.77,709.66,20220309,1
49,20220310,16,1,11518.04,1382.16,10135.87,20220310,1
50,20220311,7,1,11822.0,1418.64,10403.36,20220410,1
51,20220314,5,1,15418.05,1850.17,13567.89,20220321,1
52,20220315,29,1,19679.68,2361.56,17318.12,20220330,1
53,20220316,3,1,56587.36,6790.48,49796.88,20220415,1
54,20220317,26,1,11037.54,1324.5,9713.03,20220416,1
55,20220318,19,1,5927.18,711.26,5215.92,20220318,1
56,20220321,22,1,24097.38,2891.69,21205.7,20220321,1
57,20220322,29,1,4800.03,576.0,4224.03,20220329,1
58,20220323,28,1,8783.69,1054.04,7729.64,20220323,1
59,20220324,15,1,1241.68,149.0,1092.68,20220324,1
60,20220325,30,1,390.23,46.83,343.4,20220401,1
61,20220328,30,1,49958.72,5995.05,43963.68,20220427,1
62,20220329,5,1,27472.87,3296.74,24176.13,20220428,1
63,20220330,16,1,18094.35,2171.32,15923.02,20220406,1
64,20220331,26,1,7991.55,958.99,7032.57,20220430,1
65,20220401,12,1,47533.34,5704.0,41829.34,20220401,1
66,20220404,29,1,47707.45,5724.89,41982.55,20220411,1
67,20220405,7,1,13513.06,1621.57,11891.5,20220412,1
68,20220406,13,1,15848.24,1901.79,13946.45,20220506,1
69,20220407,10,1,9437.2,1132.46,8304.74,20220407,1
70,20220408,18,1,5503.94,660.47,4843.47,20220423,1
71,20220411,26,1,6320.17,758.42,5561.75,20220418,1
72,20220412,5,1,17705.4,2124.65,15580.75,20220412,1
73,20220413,5,1,22138.62,2656.63,19481.99,20220420,1
74,20220414,19,1,24872.29,2984.68,21887.62,20220514,1
75,20220415,16,1,24723.77,2966.85,21756.92,20220415,1
76,20220418,1,1,1516.85,182.02,1334.82,20220425,1
77,20220419,20,1,10817.62,1298.11,9519.5,20220419,1
78,20220420,7,1,940.23,112.83,827.41,20220420,1
79,20220421,13,1,12648.1,1517.77,11130.33,20220521,1
80,20220422,4,1,9239.59,1108.75,8130.84,20220429,1
81,20220425,28,1,34680.77,4161.69,30519.07,20220510,1
82,20220426,19,1,6854.76,822.57,6032.18,20220426,1
83,20220427,12,1,1974.72,236.97,1737.75,20220504,1
84,20220428,7,1,2447.39,293.69,2153.7,20220513,1
85,20220429,10,1,22734.86,2728.18,20006.68,20220506,1
86,20220502,5,1,19654.6,2358.55,17296.05,20220509,1
87,20220503,10,1,452.39,54.29,398.1,20220518,1
88,20220504,17,1,261.24,31.35,229.89,20220504,1
89,20220505,14,1,4617.91,554.15,4063.76,20220505,1
90,20220506,14,1,16264.65,1951.76,14312.89,20220506,1
91,20220509,19,1,42667.34,5120.08,37547.26,20220509,1
92,20220510,13,1,1593.66,191.24,1402.42,20220609,1
93,20220511,30,1,8815.71,1057.88,7757.82,20220511,1
94,20220512,17,1,4687.57,562.51,4125.07,20220611,1
95,20220513,2,1,34254.0,4110.48,30143.52,20220612,1
96,20220516,8,1,18046.57,2165.59,15880.98,20220531,1
97,20220517,26,1,17814.64,2137.76,15676.88,20220524,1
98,20220518,2,1,6182.81,741.94,5440.87,20220525,1
99,20220519,22,1,5238.59,628.63,4609.96,20220603,1
100,20220520,27,1,3122.51,374.7,2747.8,20220527,1
101,20220523,12,1,567.3,68.08,499.22,20220523,1
102,20220524,22,1,19557.17,2346.86,17210.31,20220623,1
103,20220525,5,1,16386.56,1966.39,14420.17,20220601,1
104,20220526,30,1,79897.91,9587.75,70310.16,20220610,1
105,20220527,25,1,55675.93,6681.11,48994.82,20220527,1
106,20220530,16,1,7925.33,951.04,6974.29,20220614,1
