vendor_id,vendor_name,vendor_category
1,Fornecedor 01,Infraestrutura
2,Fornecedor 02,Serviços
3,Fornecedor 03,Serviços
4,Fornecedor 04,Infraestrutura
5,Fornecedor 05,Facilities
6,Fornecedor 06,Serviços
7,Fornecedor 07,Serviços
8,Fornecedor 08,Infraestrutura
9,Fornecedor 09,Serviços
10,Fornecedor 10,Serviços
11,Fornecedor 11,Infraestrutura
12,Fornecedor 12,Infraestrutura
13,Fornecedor 13,Insumos
14,Fornecedor 14,Facilities
15,Fornecedor 15,Facilities
16,Fornecedor 16,Serviços
17,Fornecedor 17,Facilities
18,Fornecedor 18,Serviços
19,Fornecedor 19,Insumos
20,Fornecedor 20,Infraestrutura
21,Fornecedor 21,Infraestrutura
22,Fornecedor 22,Infraestrutura
23,Fornecedor 23,Facilities
24,Fornecedor 24,Insumos
25,Fornecedor 25,Facilities
